Movie,Released Date,Worldwide,India Hindi Net,India Gross,Overseas,Budget,Verdict
Good Newwz,27-Dec-19,315,203.89,241,74,60,Blockbuster
Dabangg 3,20-Dec-19,218,146.23,178,40,90,Plus
The Body,13-Dec-19,3.4,2.65,3.1,0.3,30,Disaster
Mardaani 2,13-Dec-19,67,47.35,57,10,40,Plus
Mamangam,12-Dec-19,57.4,0.2,37.4,20,55,Plus
Panipat,6-Dec-19,49,33.87,40,9,80,Disaster
Pati Patni Aur Woh,6-Dec-19,109,84.56,99,10,40,Hit
Commando 3,29-Nov-19,41.3,32.04,37.3,4,40,Plus
Pagalpanti,22-Nov-19,51,41.2,47,4,60,Flop
Motichoor Chaknachoor,15-Nov-19,2.4,1.8,2.15,0.25,20,Disaster
Marjaavaan,15-Nov-19,62,48.04,55.5,6.5,50,Average
Satellite Shankar,8-Nov-19,1,0.65,0.8,0.2,30,Disaster
Bypass Road,8-Nov-19,1.5,1,1.2,0.3,20,Disaster
Bala,8-Nov-19,162,116.38,135,27,35,SuperHit
Ujda Chaman,1-Nov-19,16.7,12.86,15.2,1.5,20,Flop
Made In China,25-Oct-19,16.2,12.3,14.5,1.7,25,Flop
Housefull 4,25-Oct-19,296,210.3,247,49,175,SuperHit
Saand Ki Aankh,25-Oct-19,31,23.67,28,3,20,Plus
Laal Kaptaan,18-Oct-19,4.5,3.19,3.8,0.7,40,Disaster
The Sky Is Pink,11-Oct-19,28.5,20.2,23.5,5,24,Flop
Sye Raa Narasimha Reddy,2-Oct-19,246.6,11.03,216.6,30,275,Disaster
War,2-Oct-19,471,303.34,375,96,150,Blockbuster
Pal Pal Dil Ke Paas,20-Sep-19,12.5,9,10.5,2,30,Disaster
The Zoya Factor,20-Sep-19,8.3,4.8,6.8,1.5,30,Disaster
Prassthanam,20-Sep-19,10.2,6.8,8.2,2,40,Disaster
Section 375,13-Sep-19,22,17,20,2,20,Losing
Dream Girl,13-Sep-19,195,141.3,163,32,30,SuperHit
Pailwaan,12-Sep-19,52.45,2.39,48.45,4,40,Disaster
Chhichhore,6-Sep-19,211,153.16,180,31,70,Blockbuster
Saaho,30-Aug-19,439,145.67,359,80,350,Hit
Batla House,15-Aug-19,127,99.24,116,11,50,Hit
Mission Mangal,15-Aug-19,290,203.08,236,54,40,Blockbuster
Jabariya Jodi,9-Aug-19,25.24,18.85,22.24,3,30,Flop
Judgementall Hai Kya,26-Jul-19,49.5,34.45,41.1,8.4,35,Average
Arjun Patiala,26-Jul-19,12.3,8.65,10.3,2,25,Disaster
Jhootha Kahin Ka,19-Jul-19,0.6,0.5,0.6,0,15,Disaster
Super 30,12-Jul-19,210,147.39,171,39,60,SuperHit
Malaal,5-Jul-19,3.3,2.8,3.3,0,10,Disaster
Article 15,28-Jun-19,94,66,79,15,25,SuperHit
Kabir Singh,21-Jun-19,377,278.8,330,47,55,All Time Blockbuster
Game Over,14-Jun-19,16,4.87,14.7,1.3,20,Losing
Bharat,5-Jun-19,321,212.03,251,70,165,Hit
PM Narendra Modi,24-May-19,35.2,28.51,33.7,1.5,20,Plus
India's Most Wanted,24-May-19,18,13.2,15.5,2.5,30,Disaster
De De Pyaar De,17-May-19,139,104.13,113,26,75,Hit
Student Of The Year 2,10-May-19,95.5,70.86,84.5,11,75,Losing
Setters,3-May-19,1.62,1.35,1.62,0,15,Disaster
Blank,3-May-19,8.6,6.45,7.6,1,30,Disaster
Avengers End Game,26-Apr-19,18970,116.47,445,13335,2500,SuperHit
Kalank,17-Apr-19,146.8,84.6,99.8,47,150,Flop
The Tashkent Files,12-Apr-19,20,16.41,19.4,0.6,8,SuperHit
Romeo Akbar Walter,5-Apr-19,58,42.85,50.5,7.5,35,Plus
Notebook,29-Mar-19,6.6,4.97,6,0.6,20,Flop
Junglee,29-Mar-19,32.7,24.76,29.2,3.5,50,Flop
Mard Ko Dard Nahi Hota,21-Mar-19,3.5,2.55,3,0.5,21,Disaster
Kesari,21-Mar-19,208.8,155.7,183.8,25,100,Hit
Photograph,15-Mar-19,2.03,1.45,1.82,0.21,19,Disaster
Badla,8-Mar-19,140.47,88.53,104.47,36,20,SuperHit
Sonchiriya,1-Mar-19,8.5,6.66,7.8,0.7,30,Disaster
Luka Chuppi,1-Mar-19,128,94.09,111,17,20,SuperHit
Total Dhamaal,22-Feb-19,232.18,155.67,183.68,48.5,105,SuperHit
Gully Boy,14-Feb-19,235.7,139.63,164.7,71,60,SuperHit
Ek Ladki Ko Dekha Toh Aisa Laga,1-Feb-19,44,22.45,26,18,50,Flop
Thackeray,25-Jan-19,50.3,23.12,46.3,4,40,Plus
Manikarnika: The Queen of Jhansi,25-Jan-19,142,94.37,116.6,25.4,101,Average
Why Cheat India,18-Jan-19,14.5,10.92,13,1.5,25,Disaster
The Accidental Prime Minister,11-Jan-19,26.5,20.22,24,2.5,25,Flop
URI The Surgical Strike,11-Jan-19,341.75,244.14,293.75,48,70,All Time Blockbuster
Petta,10-Jan-19,232.92,1.92,158.92,74,160,Flop
